X,Y,TotalVolunteers,DateOriginal,Totalltems_EventRecord
-156.874151,20.895532,1,5/25/2017,1441
-156.874151,20.895532,2,6/14/2017,704
-156.874151,20.895532,2,8/9/2017,486
-156.874151,20.895532,2,9/8/2017,645
-156.874151,20.895532,3,4/26/2018,507
-156.862,20.8861,2,1/28/2016,52
-156.862,20.8861,2,1/28/2016,74
-156.862,20.8861,2,1/29/2016,30
-156.862,20.8861,2,1/29/2016,40
-156.862,20.8861,2,2/26/2016,58
-156.862,20.8861,2,2/26/2016,75
-156.862,20.8861,2,2/26/2016,23
-156.862,20.8861,2,2/26/2016,27
-156.862,20.8861,2,3/23/2016,15
-156.862,20.8861,2,3/23/2016,14
-156.862,20.8861,2,3/23/2016,63
-156.862,20.8861,2,3/23/2016,71
-156.862,20.8861,2,3/23/2016,42
-156.862,20.8861,2,4/7/2016,40
-156.862,20.8861,2,4/7/2016,31
-156.862,20.8861,2,4/7/2016,57
-156.862,20.8861,2,4/7/2016,25
-156.862,20.8861,2,5/16/2016,93
-156.862,20.8861,2,5/16/2016,60
-156.862,20.8861,2,5/16/2016,74
-156.862,20.8861,2,5/16/2016,33
-156.862,20.8861,2,6/7/2016,46
-156.862,20.8861,2,6/7/2016,70
-156.862,20.8861,2,6/7/2016,75
-156.862,20.8861,2,6/7/2016,54
-156.862,20.8861,2,7/14/2016,10
-156.862,20.8861,2,7/14/2016,18
-156.862,20.8861,2,7/14/2016,24
-156.862,20.8861,2,7/14/2016,35
-156.862,20.8861,2,8/16/2016,9
-156.862,20.8861,2,8/16/2016,23
-156.862,20.8861,2,8/16/2016,18
-156.862,20.8861,2,8/16/2016,20
-156.6954983,20.92892269,9,9/21/2019,5
-156.69059,20.91175,2,9/21/2019,801
-156.68937,20.9112,9,9/10/2016,1088
-156.68846,20.90959,1,9/22/2018,199
-156.68771,20.88642,2,10/16/2016,234
-156.68749,20.88517,5,10/29/2018,64
-156.68724,20.88184,1,9/21/2019,62
-156.68681,20.88421,1,2/21/2018,19
-156.68681,20.88421,1,3/28/2018,37
-156.68681,20.88421,1,4/25/2018,46
-156.68681,20.88421,1,5/30/2018,59
-156.68681,20.88421,1,6/27/2018,51
-156.68681,20.88421,1,7/25/2018,57
-156.68681,20.88421,1,8/22/2018,36
-156.68681,20.88421,1,9/26/2018,35
-156.68681,20.88421,1,10/24/2018,38
-156.68681,20.88421,1,11/28/2018,54
-156.68681,20.88421,1,12/20/2018,104
-156.68657,20.88295,3,9/21/2019,34
-156.685948,71.326058,18,7/18/2019,578
-156.6859,20.95523,2,9/15/2018,501
-156.68578,20.88456,1,9/21/2019,141
-156.68485,20.89907,2,9/16/2017,333
-156.68478,20.902,1,9/16/2017,7
-156.6828,20.95903,3,9/21/2019,45
-156.68215,20.87958,3,9/21/2019,336
-156.68044,20.87671,2,9/21/2019,541
-156.68017,20.87565,10,9/21/2019,673
-156.67981,20.87499,10,9/17/2016,293
-156.6789,20.87428,4,9/16/2017,0
-156.67884,20.87447,14,9/16/2017,399
-156.67801,20.87167,4,9/21/2019,316
-156.67791,20.87273,2,9/16/2017,638
-156.67789,20.87096,1,9/21/2019,64
-156.67772,20.87119,5,9/21/2019,153
-156.6777,20.87226,4,9/15/2018,595
-156.67753,20.87256,1,9/21/2019,394
-156.67752,20.87244,1,9/16/2017,822
-156.67744,20.87598,3,9/21/2019,1494
-156.6774,20.87602,3,9/21/2019,6
-156.67735,20.8717,1,9/16/2017,304
